time,required,patient_contribution,exoskeleton_assist
0.39999976,-4.71714549,-1.415143647,-3.302001843
0.41666642,-3.09793092,-0.9293792759999999,-2.168551644
0.43333308,-2.47461669,-0.742385007,-1.732231683
0.44999974,-3.03593103,-0.9107793089999999,-2.125151721
0.4666664,-4.99905276,-1.4997158279999998,-3.499336932
0.48333306,-7.76261812,-2.328785436,-5.433832684
0.49999972,-10.37478452,-3.112435356,-7.262349164
0.51666638,-11.0615869,-3.31847607,-7.74311083
0.53333304,-13.58445841,-4.075337523,-9.509120887
0.5499997,-16.47294733,-4.9418841989999995,-11.531063131
0.56666636,-17.79482305,-5.3384469150000005,-12.456376135000001
0.58333302,-17.12495465,-5.137486395,-11.987468255
0.59999968,-13.0019411,-3.9005823299999998,-9.101358770000001
0.61666634,-11.18510275,-3.355530825,-7.829571925
0.633333,-18.52652657,-5.557957971,-12.968568599000001
0.64999966,-24.23975056,-7.271925168,-16.967825392
0.66666632,-13.78786127,-4.136358381,-9.651502889
0.68333298,-2.38635078,-0.715905234,-1.6704455459999998
0.69999964,5.84730126,1.7541903779999999,4.093110882
0.7166663,15.40096382,4.620289145999999,10.780674674
0.73333296,23.45772378,7.037317133999999,16.420406646
0.74999962,30.57476035,9.172428105,21.402332244999997
0.76666628,33.87299768,10.161899303999999,23.711098376
0.78333294,36.23476249,10.870428747,25.364333743000003
0.7999996,35.38754709,10.616264126999999,24.771282962999997
0.81666626,32.50552491,9.751657473,22.753867436999997
0.83333292,29.30003038,8.790009114,20.510021266
0.84999958,24.38058709,7.314176127,17.066410963
0.86666624,19.21098755,5.763296264999999,13.447691285
0.8833329,12.80619679,3.841859037,8.964337752999999
0.89999956,5.61599522,1.684798566,3.9311966540000003
0.91666622,-1.46790609,-0.440371827,-1.0275342630000002
0.93333288,-7.24115915,-2.1723477449999997,-5.068811405
0.94999954,-12.16307113,-3.648921339,-8.514149791000001
0.9666662,-17.94831371,-5.384494113,-12.563819597000002
0.98333286,-23.94744624,-7.184233872,-16.763212368
0.99999952,-27.75807082,-8.327421246,-19.430649574
1.01666618,-29.92630163,-8.977890489,-20.948411141
1.03333284,-33.03303766,-9.909911297999999,-23.123126362
1.0499995,-36.2219728,-10.86659184,-25.355380960000005
1.06666616,-38.88313417,-11.664940250999999,-27.218193919
1.08333282,-41.55337017,-12.466011051,-29.087359119
1.09999948,-43.82032088,-13.146096263999999,-30.674224615999997
1.11666614,-44.74654327,-13.423962980999999,-31.322580288999998
1.1333328,-47.57293669,-14.271881007,-33.301055683
1.14999946,-51.29498164,-15.388494492,-35.906487148000004
1.16666612,-53.6159017,-16.08477051,-37.53113119
1.18333278,-56.93714272,-17.081142816,-39.855999904
1.19999944,-59.00241255,-17.700723765,-41.301688785
1.2166661,-57.42172259,-17.226516777,-40.195205813
1.23333276,-53.91341983,-16.174025949,-37.739393881
1.24999942,-48.25546636,-14.476639908,-33.778826452000004
1.26666608,-42.9382291,-12.88146873,-30.05676037
1.28333274,-36.33343207,-10.900029621,-25.433402449
1.2999994,-23.06164606,-6.918493818,-16.143152242
1.31666606,-10.58846833,-3.1765404989999997,-7.411927831
1.33333272,-0.84608194,-0.253824582,-0.592257358
1.34999938,4.626461,1.3879382999999998,3.2385227
1.36666604,5.98539872,1.795619616,4.189779104
1.3833327,4.87343283,1.4620298489999999,3.4114029809999997
1.39999936,3.26999424,0.9809982719999999,2.288995968
1.41666602,2.74442915,0.8233287450000001,1.9211004050000002
1.43333268,0.15250943,0.045752829,0.106756601
1.44999934,0.62563822,0.187691466,0.43794675400000005
1.466666,1.55902394,0.467707182,1.091316758
1.48333266,2.52187824,0.756563472,1.765314768
1.49999932,3.28658682,0.985976046,2.300610774
1.51666598,3.65706814,1.0971204419999998,2.559947698
1.53333264,3.34266532,1.002799596,2.339865724
1.5499993,1.9923777,0.5977133099999999,1.39466439
1.56666596,-0.62027354,-0.186082062,-0.434191478
1.58333262,-4.39959583,-1.319878749,-3.079717081
1.59999928,-8.86754443,-2.660263329,-6.207281101
